epoch,lp_loss,lp_test_acc
1,0.6358200188498108,0.8385
2,0.4295409140842302,0.8452
3,0.4057457244821957,0.851
4,0.3926571834148193,0.8511
5,0.38473775207388156,0.8521
6,0.3778389122109024,0.8537
7,0.3723847371887188,0.8521
8,0.3685747010975468,0.8567
9,0.3646689321921796,0.857
10,0.36333941957172083,0.8571
11,0.3587842826180312,0.8585
12,0.3544985478629871,0.8558
13,0.35265071355566685,0.8594
14,0.3507993244090859,0.8594
15,0.34782167113557155,0.8597
16,0.34588958748749327,0.8606
17,0.3441718919392751,0.8608
18,0.34300558504705525,0.8609
19,0.3403809389897755,0.8616
20,0.3389574878525977,0.8624
21,0.33812254644474204,0.86
22,0.3368413160954203,0.8615
23,0.3360244773936515,0.861
24,0.33430760490651035,0.8633
25,0.33259214772557727,0.8614
26,0.3311622047758832,0.8621
27,0.3308971927938413,0.8627
28,0.33049340409283734,0.8616
29,0.32844523424092603,0.8614
30,0.32724052264678233,0.8624
31,0.32595682273409804,0.8639
32,0.3255529920665585,0.8613
33,0.32552395335265566,0.8629
34,0.3239580683258115,0.8613
35,0.3231994708885952,0.8626
36,0.32305969974520254,0.8623
37,0.3223200173554372,0.8625
38,0.3214254213535056,0.8641
39,0.32083229827029364,0.8642
40,0.32004882980670246,0.8648
41,0.3196114986678775,0.8651
42,0.3191570556741588,0.8639
43,0.3179505944860225,0.8639
44,0.31835259413536715,0.8634
45,0.31714782917073797,0.863
46,0.316501395358723,0.8616
47,0.31604777823905555,0.8641
48,0.3154911376839998,0.8653
49,0.31507995732280675,0.8639
50,0.3147836944886616,0.8628
51,0.3140070195861009,0.8651
52,0.31415575286563563,0.8634
53,0.31297252296793215,0.8621
54,0.3130855298011887,0.8657
55,0.31274981606675656,0.8639
56,0.3116990089872662,0.866
57,0.3117965370112536,0.8629
58,0.3109282219440353,0.863
59,0.31233813841732183,0.865
60,0.31110675465695714,0.8652
61,0.3093171006410706,0.8648
62,0.30980816164187025,0.8643
63,0.30972221691389473,0.8625
64,0.3094740839180898,0.8641
65,0.3091917724481651,0.8647
66,0.30761916714967513,0.8645
67,0.3078432571218938,0.8632
68,0.3073425597834344,0.8647
69,0.3071994237145599,0.8631
70,0.30674959780002126,0.8646
71,0.3061957038482841,0.866
72,0.306953030581377,0.8657
73,0.30564113546695026,0.8645
74,0.30524879549534956,0.8653
75,0.30530937502578814,0.8652
76,0.3051580310780175,0.8638
77,0.3050166976695158,0.8652
78,0.30369176822049276,0.8638
79,0.30482466701342137,0.8636
80,0.3039868838933049,0.8647
81,0.30291679440712443,0.865
82,0.30388013623198684,0.8633
83,0.3039347020034887,0.8639
84,0.3030740710697612,0.8643
85,0.3030507177570645,0.8658
86,0.3019321740281825,0.8637
87,0.3026586874407165,0.8639
88,0.3028426952660084,0.8633
89,0.3018167609614985,0.8658
90,0.3019761893214012,0.8641
91,0.30225159805648183,0.866
92,0.3021440950735491,0.8651
93,0.30194792212272176,0.8656
94,0.3008977934261974,0.8652
95,0.30158244643588455,0.8648
96,0.3002942909239506,0.8644
97,0.30014601053327933,0.8651
98,0.3002645118656207,0.8647
99,0.2995580095721751,0.8658
100,0.30028674873162287,0.8659
