epoch,lp_loss,lp_test_acc
1,2.180996994582974,0.2351
2,2.065203289596402,0.2659
3,2.0053435545794818,0.3066
4,1.97072883467285,0.2952
5,1.9455708417357231,0.3099
6,1.9227371605075136,0.3165
7,1.9002899199115986,0.3303
8,1.8835024596477041,0.3321
9,1.8701336560200672,0.3427
10,1.8608855963969717,0.347
11,1.8422084675759685,0.35
12,1.837089950941047,0.349
13,1.825756115572793,0.3542
14,1.8155638125478004,0.3659
15,1.8081259520686404,0.3722
16,1.8019089960322088,0.3651
17,1.7923003410806462,0.3672
18,1.7854441824008007,0.3742
19,1.7763404231898638,0.3833
20,1.7729443548893442,0.3681
21,1.766430447904431,0.3806
22,1.762404895558649,0.3743
23,1.7594692336053264,0.3727
24,1.7535747015962795,0.3787
25,1.748330400914562,0.3739
26,1.745200016060654,0.3739
27,1.739320961188297,0.389
28,1.736149891906855,0.3891
29,1.7332357308086084,0.3825
30,1.7267222982280108,0.3819
31,1.726231548250938,0.393
32,1.722463679556944,0.3857
33,1.7190878196638457,0.386
34,1.7152603645713962,0.3923
35,1.7130033209615825,0.4
36,1.7067388393441025,0.3984
37,1.7068247618723889,0.3953
38,1.707132757926474,0.4
39,1.7037003636360168,0.4011
40,1.69913050532341,0.4035
41,1.6952990932124001,0.3985
42,1.6943840944037145,0.4066
43,1.6931771702912388,0.3876
44,1.6896414081661069,0.377
45,1.6887869913967288,0.3974
46,1.6869746817618,0.3953
47,1.6859953823138256,0.3843
48,1.682299656527383,0.3984
49,1.6778277517581472,0.3846
50,1.678678342274257,0.3857
51,1.6782362917248084,0.4023
52,1.6734289575596244,0.4036
53,1.6735188644759509,0.4003
54,1.6744488866961733,0.3882
55,1.6708955442418858,0.4086
56,1.6686092475239112,0.4105
57,1.663526401836045,0.4019
58,1.6663706892607164,0.4045
59,1.6624972528340864,0.4099
60,1.6650830209255219,0.397
61,1.6562932650653683,0.4087
62,1.6629881943975175,0.408
63,1.6565051668760729,0.4074
64,1.6590163555680488,0.4054
65,1.658615167043647,0.4002
66,1.6553305016488444,0.3952
67,1.6524046422267447,0.4015
68,1.6489945491965936,0.3992
69,1.6525924947797035,0.4074
70,1.6481453624306892,0.4146
71,1.6466976562324835,0.4003
72,1.6491682772733727,0.4107
73,1.6437286339244064,0.411
74,1.6448997964664382,0.4095
75,1.6420145886284965,0.4076
76,1.6423339947145812,0.4109
77,1.6395529569411764,0.4134
78,1.6394833423653428,0.4158
79,1.637544102206522,0.4059
80,1.639381477419211,0.4163
81,1.6402108492899914,0.4011
82,1.6412239226759697,0.4157
83,1.63476761263244,0.4129
84,1.6354590696947915,0.4056
85,1.637815852554477,0.4117
86,1.6344970799222285,0.4141
87,1.6336394518005604,0.4086
88,1.6347526427434416,0.4155
89,1.631912119534551,0.4061
90,1.6329792293967034,0.4082
91,1.6323244328401527,0.4104
92,1.6296801700883983,0.4045
93,1.6281188556126185,0.4075
94,1.628053263133886,0.4111
95,1.6263040565714544,0.4104
96,1.6263853621726134,0.4043
97,1.625347795535107,0.4087
98,1.6265083697377418,0.407
99,1.6217425027672125,0.4145
100,1.6206270316425635,0.4029
