epoch,lp_loss,lp_test_acc
1,3.3108385533702616,0.3286
2,2.644671407281136,0.3617
3,2.4543878448252774,0.3894
4,2.341747906743264,0.4043
5,2.259068412440164,0.4121
6,2.198524444687123,0.4245
7,2.1450282310952944,0.4253
8,2.1027382788609486,0.4333
9,2.065724854566613,0.4415
10,2.0328998243322176,0.4462
11,2.003455474060409,0.4467
12,1.9756738160337721,0.4567
13,1.9498549955231803,0.4572
14,1.9290875585711733,0.4557
15,1.9076086039445839,0.4666
16,1.88908573255247,0.467
17,1.8712438144245926,0.4686
18,1.8555585857556791,0.4683
19,1.8393677552135623,0.472
20,1.8218182185474707,0.4738
21,1.8085648977026647,0.4782
22,1.795257190052344,0.479
23,1.7810145805076676,0.4741
24,1.768860794451772,0.4793
25,1.75621220651938,0.4829
26,1.7465406200107263,0.4841
27,1.7346325717410263,0.4834
28,1.7270665831711827,0.4852
29,1.7135880857097858,0.4867
30,1.7050947090800928,0.4887
31,1.6965280838158665,0.4893
32,1.6869661771521276,0.4912
33,1.6789423257720715,0.4911
34,1.6691051289743306,0.4914
35,1.660985852382621,0.491
36,1.6550183125904627,0.4914
37,1.6442500267710005,0.4915
38,1.6394341016302303,0.4921
39,1.6315317032288532,0.4966
40,1.6244623977310804,0.4935
41,1.6171306359524629,0.4955
42,1.6119534434104452,0.4976
43,1.6048696345212508,0.4962
44,1.597889518859435,0.4975
45,1.5924882931368691,0.4969
46,1.5867594200737623,0.4973
47,1.581035995969967,0.4983
48,1.5763640872069768,0.4977
49,1.570334099993414,0.5007
50,1.563857939778542,0.4993
51,1.5587528743305985,0.4988
52,1.5533673556483523,0.4975
53,1.548385170649509,0.5001
54,1.5437805549222596,0.5012
55,1.5417030940250473,0.499
56,1.534308488879885,0.4994
57,1.5308965663520657,0.4995
58,1.5257351818133373,0.5005
59,1.52301146850294,0.5028
60,1.5173184299955562,0.501
61,1.5119260817157978,0.5023
62,1.5079342437033751,0.5013
63,1.5048211575770865,0.5006
64,1.5011668375560216,0.4992
65,1.4978591094211655,0.5039
66,1.4931924999976645,0.5049
67,1.488134354352951,0.5013
68,1.4855151948880176,0.5041
69,1.4812013087223987,0.499
70,1.478595039674214,0.5031
71,1.4742086091820075,0.5011
72,1.4704246381107642,0.5039
73,1.4686273397231588,0.4994
74,1.4649112771968453,0.5037
75,1.462127565121164,0.5024
76,1.4573530372308225,0.5016
77,1.4542782738500712,0.5039
78,1.4514916131691056,0.5015
79,1.449045596074085,0.5016
80,1.4454104553680032,0.4998
81,1.44220156572303,0.5023
82,1.4395023851978535,0.5003
83,1.4370212597506387,0.5018
84,1.4345012574779743,0.5028
85,1.4309714509516347,0.5029
86,1.4285676272547976,0.5041
87,1.4257248080506617,0.5011
88,1.4229844376748921,0.505
89,1.4201294086417373,0.501
90,1.4188048906472264,0.5025
91,1.4149175687712066,0.5014
92,1.4128297549121234,0.501
93,1.4110834397831742,0.5005
94,1.4078285961735004,0.5026
95,1.404975261615247,0.5035
96,1.402964594412823,0.503
97,1.4016364113408692,0.5039
98,1.398648434147543,0.4996
99,1.3950747689422296,0.5005
100,1.393546377517739,0.5026
