epoch,sl_loss,sl_test_acc,sl_train_acc
1,1.4266378653355134,0.565,0.4751201923076923
2,1.0064579581603026,0.6573,0.6420873397435898
3,0.801390242882264,0.6173,0.7153245192307692
4,0.6808721080804483,0.7444,0.76171875
5,0.5980366685451606,0.7716,0.7906049679487179
6,0.528278770049413,0.798,0.8177884615384615
7,0.483558232203508,0.789,0.8321113782051283
8,0.4430441015805954,0.8237,0.8450120192307692
9,0.4011491365921803,0.8137,0.8607772435897436
10,0.37905427034084616,0.7782,0.868709935897436
11,0.34905299880565743,0.8371,0.8785056089743589
12,0.32689181719070826,0.8419,0.8860176282051282
13,0.30331489069339557,0.8449,0.8944911858974359
14,0.28404504381693324,0.8635,0.9026442307692307
15,0.26439368892938664,0.8576,0.9075320512820513
16,0.24782618635740036,0.8549,0.912540064102564
17,0.23195365078938313,0.8511,0.9196714743589743
18,0.2188191083761362,0.8686,0.9241786858974359
19,0.20626931243982072,0.8222,0.9276642628205128
20,0.19411240571584457,0.87,0.9313902243589743
21,0.17892870765465957,0.8807,0.9371995192307693
22,0.16530100095730563,0.8776,0.9416666666666667
23,0.16686022892976418,0.8664,0.9414262820512821
24,0.1535526610337771,0.8741,0.9456530448717949
25,0.13908379515394187,0.8812,0.9512820512820512
26,0.13656237484552922,0.8883,0.9508413461538462
27,0.12978877092783267,0.8834,0.9542868589743589
28,0.12194480859698394,0.8851,0.955889423076923
29,0.11709724204280438,0.8881,0.95859375
30,0.10913313164924963,0.8881,0.9626001602564103
31,0.10510165038017126,0.887,0.9629407051282052
32,0.09994569449470593,0.893,0.9644230769230769
33,0.09550375487559881,0.8945,0.9661258012820513
34,0.09239353717137606,0.8911,0.9670472756410257
35,0.0873626660842162,0.8991,0.9690905448717949
36,0.08237752041373497,0.8923,0.971133814102564
37,0.08249197542094268,0.884,0.9710136217948718
38,0.07393911429322683,0.8891,0.9739583333333334
39,0.07287637104208652,0.8782,0.9747996794871795
40,0.07289990269793914,0.8923,0.9735777243589744
41,0.06996117644011975,0.8967,0.9746995192307693
42,0.06543254258158879,0.8813,0.9754407051282051
43,0.06003062188243254,0.8871,0.97890625
44,0.06077797633524124,0.8845,0.9787860576923076
45,0.06136459747377115,0.8853,0.9786458333333333
46,0.06030564877467278,0.8945,0.9776842948717949
47,0.055801087455489694,0.8905,0.9806891025641026
48,0.054244671289164284,0.901,0.9806891025641026
49,0.053314330046757674,0.8799,0.9811498397435897
50,0.050654410728468345,0.899,0.9819310897435898
51,0.054476829150166266,0.8948,0.9804487179487179
52,0.04758615645174032,0.8988,0.982792467948718
53,0.04967596102028321,0.8993,0.9822916666666667
54,0.04506587442488243,0.8913,0.9846554487179487
55,0.046802723467445524,0.9059,0.9836738782051282
56,0.0456338087335611,0.8978,0.9840344551282051
57,0.04202598426013421,0.9049,0.9854967948717949
58,0.04213013021657482,0.8953,0.9850160256410256
59,0.04198362133823908,0.9001,0.9848758012820513
60,0.03897091865730591,0.9006,0.9866185897435897
61,0.03872039067821625,0.9006,0.9869591346153846
62,0.036291138787204635,0.9005,0.987520032051282
63,0.03455825998949317,0.9046,0.9885016025641026
64,0.040398485156205984,0.8986,0.9857972756410256
65,0.038626512951957875,0.8996,0.9864983974358974
66,0.03681440622283098,0.8983,0.9870793269230769
67,0.03696695188394724,0.902,0.987099358974359
68,0.03588990800751325,0.895,0.987479967948718
69,0.03463543294809568,0.9035,0.9876001602564103
70,0.031791987766822176,0.9003,0.989463141025641
71,0.035219300082192206,0.9033,0.987479967948718
72,0.028156073802174667,0.9027,0.9901041666666667
73,0.03495749850303699,0.9074,0.9876602564102565
74,0.032091784381713624,0.8916,0.989042467948718
75,0.031112973946027266,0.9055,0.9889423076923077
76,0.03337578771349329,0.9,0.9883814102564102
77,0.027386532198542205,0.9042,0.9904246794871795
78,0.031069736669843015,0.9004,0.9893229166666667
79,0.027715759850942937,0.9005,0.9897836538461539
80,0.026444767754620468,0.906,0.9908052884615385
81,0.02533319242274723,0.9083,0.9916466346153846
82,0.029704332791077787,0.9021,0.9900641025641026
83,0.03097091486486487,0.9111,0.9890224358974359
84,0.026137397240083186,0.9059,0.9910857371794872
85,0.026817628335303222,0.9078,0.9905248397435897
86,0.028476993344389856,0.9018,0.9899839743589743
87,0.0274083182717172,0.9079,0.9898237179487179
88,0.024360535435903913,0.9066,0.991386217948718
89,0.023984641655801962,0.902,0.9916065705128205
90,0.026184366235079675,0.8959,0.9909455128205128
91,0.023818081310496498,0.9135,0.9919671474358974
92,0.022804909573199274,0.9061,0.9921875
93,0.025437030689313245,0.9029,0.991005608974359
94,0.025891710199320163,0.9024,0.9910256410256411
95,0.025086195604541364,0.9052,0.9911858974358975
96,0.02322428826577006,0.9104,0.9920272435897436
97,0.024666089276210047,0.9054,0.9910256410256411
98,0.023457679730386306,0.9044,0.9917267628205129
99,0.02094905581205892,0.909,0.9929086538461539
100,0.019904031274983518,0.9059,0.9925480769230769
101,0.018672307901896345,0.9076,0.9935496794871795
102,0.02170872444895884,0.9058,0.9927483974358975
103,0.023682219222283515,0.9107,0.9921073717948717
104,0.02093729053815015,0.9038,0.9928084935897435
105,0.022663683552915852,0.9047,0.9919270833333333
106,0.01975354126188904,0.9123,0.993369391025641
107,0.01627633927915341,0.9131,0.9942908653846154
108,0.018751687155320093,0.8934,0.9933493589743589
109,0.0258869777361934,0.9136,0.9911658653846154
110,0.020173772239985947,0.9111,0.9931690705128206
111,0.015539500699975551,0.9112,0.9948717948717949
112,0.019503901266636182,0.9071,0.9930689102564103
113,0.020434802821658264,0.9047,0.9925480769230769
114,0.025184604277213415,0.9087,0.9912660256410256
115,0.01948562122236651,0.9082,0.9931690705128206
116,0.020597615024934596,0.9131,0.9927283653846154
117,0.019540994074076223,0.9152,0.9932291666666667
118,0.01604219922580971,0.9121,0.9946714743589744
119,0.016828701731104116,0.9151,0.9940104166666667
120,0.016732586036101938,0.9134,0.994150641025641
121,0.015582412541008148,0.9124,0.994951923076923
