epoch,knn_accuracy,ssl_loss
1,0.4431,5.26495672861735
2,,5.036979836684007
3,,4.9478917317512705
4,,4.8906409728221405
5,0.5545,4.849174589988513
6,,4.817554109524458
7,,4.792325890369904
8,,4.773491370372283
9,,4.756411359249017
10,0.6333,4.741430341280424
11,,4.73156184172019
12,,4.7218950198246885
13,,4.712849311339549
14,,4.706170549148168
15,0.6719,4.696882123213548
16,,4.689003748771472
17,,4.685972252870218
18,,4.6822430097139796
19,,4.677343520140036
20,0.7025,4.6706547834934335
21,,4.667875113854041
22,,4.663276232205904
23,,4.659743810311342
24,,4.656479637439435
25,0.7184,4.651740528987005
26,,4.648515742864364
27,,4.642138473804181
28,,4.645499931237636
29,,4.639271770379482
30,0.7314,4.636898273076767
31,,4.63483158991887
32,,4.630718448834542
33,,4.6273215049352405
34,,4.626049518585205
35,0.7351,4.624042938917111
36,,4.622077829409868
37,,4.619504840557392
38,,4.619370235540928
39,,4.618755726936536
40,0.7488,4.614488890232184
41,,4.611909846770458
42,,4.6128307269169735
43,,4.608608148036859
44,,4.606969376099415
45,0.7549,4.604800476172032
46,,4.603869051811023
47,,4.605787680699275
48,,4.603444539583647
49,,4.5990393051734335
50,0.7633,4.597911917857635
51,,4.597655601990529
52,,4.595973924490122
53,,4.5966709161416075
54,,4.588898996206431
55,0.7688,4.592070511059883
56,,4.590321005307711
57,,4.589559780023037
58,,4.587453663654816
59,,4.585768352410732
60,0.775,4.584989943871132
61,,4.58301749596229
62,,4.580546337518936
63,,4.581679175450252
64,,4.580020011999668
65,0.7816,4.580359204610189
66,,4.579754685132931
67,,4.57682985159067
68,,4.576040094326704
69,,4.574487072382218
70,0.7862,4.572571284954364
71,,4.571725048162999
72,,4.571754734332745
73,,4.570795971307999
74,,4.567259414379413
75,0.7912,4.56901009388459
76,,4.568510820926764
77,,4.566893734076085
78,,4.565034956809802
79,,4.563958065326397
80,0.7936,4.564444233820988
81,,4.562445021898318
82,,4.563461746313633
83,,4.562267310802753
84,,4.5607639924073835
85,0.8008,4.561233028998742
86,,4.55659209275857
87,,4.557225555028671
88,,4.558513056926238
89,,4.555418122120392
90,0.8011,4.5554981891925515
91,,4.555194827837822
92,,4.55157498335227
93,,4.552326305095966
94,,4.549453725570287
95,0.8056,4.55142536407862
96,,4.550400692377335
97,,4.549641848833133
98,,4.549776439177684
99,,4.548580230810703
100,0.8116,4.5470512096698465
101,,4.546568848536565
102,,4.547373942839793
103,,4.544252510559865
104,,4.545969087649614
105,0.8141,4.544164757850843
106,,4.545695767035851
107,,4.542620773804494
108,,4.542344667972663
109,,4.542799580402863
110,0.8117,4.539535974844908
111,,4.538583471836188
112,,4.540623405652169
113,,4.5404688712878105
114,,4.535874317853879
115,0.8137,4.537941020574325
116,,4.53711915627504
117,,4.538030374967135
118,,4.536258858900804
119,,4.532566620753362
120,0.8189,4.53571743842883
121,,4.533233270889673
122,,4.533239587148031
123,,4.533472198095077
124,,4.531375510875995
125,0.8259,4.5329414930099095
126,,4.5306008314475035
127,,4.531914265950521
128,,4.52952514061561
129,,4.528784135671763
130,0.8235,4.531354410220415
131,,4.527551477383344
132,,4.529054673512777
133,,4.529130016229091
134,,4.525427302336081
135,0.8254,4.527189122713529
136,,4.5281293013156985
137,,4.525730749276968
138,,4.5253856414403675
139,,4.525867474384797
140,0.8265,4.522667050972963
141,,4.522842404781244
142,,4.524267722398807
143,,4.522787133241311
144,,4.523208936055501
145,0.8284,4.522499201847957
146,,4.521590499388866
147,,4.5214396036588225
148,,4.522677098787748
149,,4.52009819715451
150,0.8315,4.518734750992213
151,,4.519399801890056
152,,4.518217920645689
153,,4.5194409590501055
154,,4.516522862361028
155,0.833,4.518420847868308
156,,4.519435002253606
157,,4.518458080291748
158,,4.516450106791961
159,,4.515662816854624
160,0.8356,4.516335484920404
161,,4.514963754018148
162,,4.513911912380121
163,,4.514784737122365
164,,4.514434748429519
165,0.8362,4.512793653439253
166,,4.512129355699588
167,,4.51261432109735
168,,4.513364043602577
169,,4.5090638503050195
170,0.8362,4.509062270629101
171,,4.5118347657032505
172,,4.513030531467535
173,,4.51077151176257
174,,4.5132573763529455
175,0.8418,4.510263049296844
176,,4.51101721005562
177,,4.508780315594795
178,,4.508365271641658
179,,4.506743841904861
180,0.842,4.512447068630121
181,,4.506047021425688
182,,4.50606720997737
183,,4.507094231629983
184,,4.50614997668144
185,0.8455,4.506451511383057
186,,4.505667124039087
187,,4.506207013741518
188,,4.503995284056052
189,,4.506126359792856
190,0.8471,4.505022721412854
191,,4.503722369365203
192,,4.504619192465758
193,,4.502309735616048
194,,4.502690814091609
195,0.8493,4.503032711224678
196,,4.504215020399827
197,,4.5002108549460385
198,,4.501023862300775
199,,4.500726467523819
200,0.8455,4.501723147661258
