epoch,knn_accuracy,ssl_loss
1,0.3692,5.553091105436668
2,,5.325472296201266
3,,5.22750163200574
4,,5.154811125535232
5,0.4949,5.106761558239277
6,,5.067574085333408
7,,5.036816631219326
8,,5.0092116038004555
9,,4.986051177978515
10,0.5883,4.971272038190793
11,,4.951681997837165
12,,4.933907574873704
13,,4.922754219250801
14,,4.908354800786728
15,0.6338,4.9013142585754395
16,,4.89065511410053
17,,4.879911395830986
18,,4.872013087150378
19,,4.866639259534004
20,0.6605,4.858486141302647
21,,4.855753407111535
22,,4.84634013787294
23,,4.843351435049986
24,,4.833718324318911
25,0.6854,4.834059930459047
26,,4.823871130821033
27,,4.819719456403684
28,,4.814762981121357
29,,4.81356974137135
30,0.6975,4.8054908483456344
31,,4.804519059107854
32,,4.799375722347162
33,,4.799696787809714
34,,4.7899007283724275
35,0.7139,4.789629779717861
36,,4.7843351413042114
37,,4.781433636102921
38,,4.780975816188715
39,,4.777582853268354
40,0.7259,4.772623981573643
41,,4.767883973243909
42,,4.767591063181559
43,,4.765683959080623
44,,4.764356221908178
45,0.7363,4.7583685483687965
46,,4.757621831160325
47,,4.750571468548897
48,,4.752397035941099
49,,4.749816151154347
50,0.7454,4.7481182367373735
51,,4.744342393141526
52,,4.742995110536233
53,,4.741461548438439
54,,4.739628023978991
55,0.748,4.732995590796837
56,,4.7345692072159204
57,,4.732481178870568
58,,4.727517108428173
59,,4.726312025999412
60,0.7572,4.7263948709536825
61,,4.724206797281901
62,,4.726782586024358
63,,4.720833255083133
64,,4.721026479280912
65,0.759,4.71604274113973
66,,4.716135619236873
67,,4.7142651900266985
68,,4.711739434951391
69,,4.710260875408466
70,0.7701,4.711596339788192
71,,4.711015774653508
72,,4.704664452870687
73,,4.703432809389555
74,,4.703734473693065
75,0.7782,4.704292148198837
76,,4.702393732315454
77,,4.697648781996507
78,,4.698675957704202
79,,4.6965179932423124
80,0.7803,4.696634375743377
81,,4.698624236767109
82,,4.690563732538468
83,,4.6902231534322105
84,,4.688451908796262
85,0.7844,4.688571433531933
86,,4.686994452354235
87,,4.688545033870599
88,,4.6866750839429026
89,,4.685432764200064
90,0.7872,4.681138769785563
91,,4.67986587133163
92,,4.682093334197998
93,,4.680765015039689
94,,4.681523633614565
95,0.7887,4.677662685589913
96,,4.677418148823273
97,,4.6733888210394445
98,,4.676648176633394
99,,4.672064629579202
100,0.7961,4.6733898260654545
101,,4.669571260305552
102,,4.668915364681146
103,,4.667940315833459
104,,4.665036355532132
105,0.7953,4.6653921445210775
106,,4.667188135782878
107,,4.664095299060528
108,,4.660523531987117
109,,4.665403432112473
110,0.7956,4.663301683083558
111,,4.6599951988611465
112,,4.658975547399276
113,,4.657825694940029
114,,4.659445456969432
115,0.7967,4.657740040314503
116,,4.657690326984112
117,,4.6560879927415115
118,,4.652120436154879
119,,4.651764889252491
120,0.8055,4.6499323747096915
121,,4.650525912260398
122,,4.651021588154328
123,,4.650825808598445
124,,4.646624269240942
125,0.811,4.649314017173571
126,,4.649749853672126
127,,4.645306533422225
128,,4.644406780829796
129,,4.647446236243614
130,0.8109,4.641949922610552
131,,4.643602535052177
132,,4.6420992264380825
133,,4.640765026288155
134,,4.640862604287954
135,0.8044,4.63807793152638
136,,4.636434850937281
137,,4.63965671979464
138,,4.635879237835224
139,,4.63569286542061
140,0.8153,4.633995567223964
141,,4.637154452006022
142,,4.635497799897805
143,,4.634249677413549
144,,4.633363288488144
145,0.8169,4.632030134934645
146,,4.630278846545097
147,,4.629746913909912
148,,4.631234963734944
149,,4.628079125820062
150,0.8129,4.627793312072754
151,,4.628545849139874
152,,4.625565306345622
153,,4.6245965028420475
154,,4.62691488755055
155,0.8186,4.625008739569249
156,,4.624108541928805
157,,4.625558804243039
158,,4.623671336051745
159,,4.619446365649884
160,0.8218,4.619015921079195
161,,4.618832915868515
162,,4.621408572563758
163,,4.619674919813107
164,,4.619389766301865
165,0.8155,4.620773528172419
166,,4.614735529972957
167,,4.616358994214963
168,,4.6157995248452215
169,,4.618494241665571
170,0.8259,4.615368478726118
171,,4.614595261598245
172,,4.614621680822128
173,,4.613737923059708
174,,4.610747422927465
175,0.8179,4.6139382973695415
176,,4.609457377898387
177,,4.610305470686693
178,,4.609766815870236
179,,4.607395416651016
180,0.8244,4.61074465238131
181,,4.608880197084867
182,,4.607560659066225
183,,4.60689638088911
184,,4.607495706509321
185,0.8287,4.603298605405367
186,,4.6057618801410385
187,,4.606676011207776
188,,4.604405422699757
189,,4.601595971523187
190,0.8307,4.600603773655036
191,,4.6030099061819225
192,,4.6013261281527
193,,4.602949580168112
194,,4.601932146610358
195,0.8284,4.599876523629213
196,,4.602555453471648
197,,4.600382154415815
198,,4.602221630781125
199,,4.600215884966728
200,0.8315,4.598354960710575
